category,domain_name,file_name,file_urls,files,meaning,word
adj.,uchicago_S_Hassan,abadī,http://dsal.uchicago.edu/dictionaries/hassan/audio//00002.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00002.mp3', 'path': 'uchicago_S_Hassan/abadī.mp3', 'checksum': '949f23e0d24390485de182e6a0f71d3d', 'status': 'downloaded'}]","forever, endless, everlasting, eternally, perpetually, evermore, unceasingly",abadī
n.m.,uchicago_S_Hassan,abdāl,http://dsal.uchicago.edu/dictionaries/hassan/audio//00006.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00006.mp3', 'path': 'uchicago_S_Hassan/abdāl.mp3', 'checksum': '168a8c2cbb2705dbb7a3a3276c80eee0', 'status': 'downloaded'}]","saint, devotee, religious person",abdāl
n.m.,uchicago_S_Hassan,abal,http://dsal.uchicago.edu/dictionaries/hassan/audio//00003.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00003.mp3', 'path': 'uchicago_S_Hassan/abal.mp3', 'checksum': '4a0436b5964f94ec6190459dc8477827', 'status': 'downloaded'}]","weak person, have no strength",abal
n.m.,uchicago_S_Hassan,abrār,http://dsal.uchicago.edu/dictionaries/hassan/audio//00008.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00008.mp3', 'path': 'uchicago_S_Hassan/abrār.mp3', 'checksum': '49ed7fc8465002ac28972a6c84324e7f', 'status': 'downloaded'}]",holy men,abrār
adj.,uchicago_S_Hassan,ablι,http://dsal.uchicago.edu/dictionaries/hassan/audio//00007.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00007.mp3', 'path': 'uchicago_S_Hassan/ablι.mp3', 'checksum': '1232a2ad0f46abc1a7e1a64f9771c3f2', 'status': 'downloaded'}]","idiot, stupid, foolish",ablι
n.,uchicago_S_Hassan,abalvōn,http://dsal.uchicago.edu/dictionaries/hassan/audio//00004.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00004.mp3', 'path': 'uchicago_S_Hassan/abalvōn.mp3', 'checksum': '3b46ae5bda5cc846087f098f3b850d53', 'status': 'downloaded'}]","inception of disease, beginning, commencement, initiation, the beginning of something",abalvōn
n.m.,uchicago_S_Hassan,abrī,http://dsal.uchicago.edu/dictionaries/hassan/audio//00009.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00009.mp3', 'path': 'uchicago_S_Hassan/abrī.mp3', 'checksum': 'b1a6cf99e1ace68ee8ec9e32e8a5e3b9', 'status': 'downloaded'}]",a kind of colourful paper for wrapping which is used in binding books,abrī
adj.,uchicago_S_Hassan,abtar,http://dsal.uchicago.edu/dictionaries/hassan/audio//00010.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00010.mp3', 'path': 'uchicago_S_Hassan/abtar.mp3', 'checksum': 'a783383f88762f78e93ef8a9ccf2b14f', 'status': 'downloaded'}]","spoiled, miserable, be thrown in disorder, ruined, destitute",abtar
adv.,uchicago_S_Hassan,acānak,http://dsal.uchicago.edu/dictionaries/hassan/audio//00014.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00014.mp3', 'path': 'uchicago_S_Hassan/acānak.mp3', 'checksum': 'c7958e2325852583d18cff5e6c20b4cd', 'status': 'downloaded'}]","chance, unknowing, sudden, hasty, unexpected, abrupt",acānak
n.,uchicago_S_Hassan,abə̄sι,http://dsal.uchicago.edu/dictionaries/hassan/audio//00013.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00013.mp3', 'path': 'uchicago_S_Hassan/abə̄sι.mp3', 'checksum': 'e5c8ad6ac22de4280964c57f6d55baed', 'status': 'downloaded'}]","a name of a kind of flowering plant, light red colour resembling to colour of a kind of flowering plant",abə̄sι
n.m.,uchicago_S_Hassan,acōv,http://dsal.uchicago.edu/dictionaries/hassan/audio//00016.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00016.mp3', 'path': 'uchicago_S_Hassan/acōv.mp3', 'checksum': '6e6462b1c51abaacd96ca883856db77f', 'status': 'downloaded'}]",the calf of a cow who has not given milk,acōv
adj.,uchicago_S_Hassan,abuz,http://dsal.uchicago.edu/dictionaries/hassan/audio//00011.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00011.mp3', 'path': 'uchicago_S_Hassan/abuz.mp3', 'checksum': '6b9d03600fc433d47f15668bd88e7896', 'status': 'downloaded'}]","not roasted, unprocessed as before a fire or an oven",abuz
n.m.,uchicago_S_Hassan,abyās,http://dsal.uchicago.edu/dictionaries/hassan/audio//00012.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00012.mp3', 'path': 'uchicago_S_Hassan/abyās.mp3', 'checksum': '27279bf05c0ae7277e136196d1a4fc3a', 'status': 'downloaded'}]","practice, diligent practice, application, a habitual practice",abyās
n.m.,uchicago_S_Hassan,ackan,http://dsal.uchicago.edu/dictionaries/hassan/audio//00015.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00015.mp3', 'path': 'uchicago_S_Hassan/ackan.mp3', 'checksum': 'cbb885a5fc20ea1b6eb30d31fdc11480', 'status': 'downloaded'}]","tight long coat with full buttons in front, achkan",ackan
adj.,uchicago_S_Hassan,acʰōw,http://dsal.uchicago.edu/dictionaries/hassan/audio//00021.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00021.mp3', 'path': 'uchicago_S_Hassan/acʰōw.mp3', 'checksum': '71c2676236924ea2f6e5e6ff3c1a02aa', 'status': 'downloaded'}]","half-done, uncooked, partially cooked",acʰōw
interj.,uchicago_S_Hassan,acʰā,http://dsal.uchicago.edu/dictionaries/hassan/audio//00017.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00017.mp3', 'path': 'uchicago_S_Hassan/acʰā.mp3', 'checksum': '768d416e76f5e5d3df6a6a88715a753f', 'status': 'downloaded'}]","& adj. good, excellent, sound pleasing, agreeable, virtuous, correct, genuine",acʰā
v.,uchicago_S_Hassan,adā karun,http://dsal.uchicago.edu/dictionaries/hassan/audio//00022.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00022.mp3', 'path': 'uchicago_S_Hassan/adā karun.mp3', 'checksum': '0185221602133ecdbbac920b561d7dfc', 'status': 'downloaded'}]","be paid, be done, be performed, be expressed",adā karun
adj.,uchicago_S_Hassan,adā,http://dsal.uchicago.edu/dictionaries/hassan/audio//00023.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00023.mp3', 'path': 'uchicago_S_Hassan/adā.mp3', 'checksum': 'e05962ca4bf1afbb603c009ec1007301', 'status': 'downloaded'}]","elegance, graceful, manners, coquetry",adā
n.m.,uchicago_S_Hassan,adā,http://dsal.uchicago.edu/dictionaries/hassan/audio//00024.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00024.mp3', 'path': 'uchicago_S_Hassan/adā.mp3', 'checksum': '0e2bb37508654b892fe8373585393bf5', 'status': 'downloaded'}]","payment, execution, performance, accomplishment",adā
adv.,uchicago_S_Hassan,adιbιsān,http://dsal.uchicago.edu/dictionaries/hassan/audio//00025.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00025.mp3', 'path': 'uchicago_S_Hassan/adιbιsān.mp3', 'checksum': '696f26a1d2c77334c5023c910bccbd7c', 'status': 'downloaded'}]","respectfully, politely, civilly, considerately",adιbιsān
n.m.,uchicago_S_Hassan,acʰival,http://dsal.uchicago.edu/dictionaries/hassan/audio//00020.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00020.mp3', 'path': 'uchicago_S_Hassan/acʰival.mp3', 'checksum': '4334adb0a7f3d81acc65288e467af37a', 'status': 'downloaded'}]",proper name of tourist place in Kashmir,acʰival
n.m.,uchicago_S_Hassan,adab,http://dsal.uchicago.edu/dictionaries/hassan/audio//00026.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00026.mp3', 'path': 'uchicago_S_Hassan/adab.mp3', 'checksum': '71019ceab8f35b5674f409b76a3d54f2', 'status': 'downloaded'}]","good manners, courteousness, politeness, manners, courtesy, etiquette, civility",adab
n.m.,uchicago_S_Hassan,adākār,http://dsal.uchicago.edu/dictionaries/hassan/audio//00027.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00027.mp3', 'path': 'uchicago_S_Hassan/adākār.mp3', 'checksum': 'e37704356de2042a4edf1f0ddec1f084', 'status': 'downloaded'}]","one who acts in a play, actor",adākār
n.m.,uchicago_S_Hassan,adālat,http://dsal.uchicago.edu/dictionaries/hassan/audio//00029.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00029.mp3', 'path': 'uchicago_S_Hassan/adālat.mp3', 'checksum': 'b2315fde6d01fb26d0ed8b5ad3329d6f', 'status': 'downloaded'}]",court of justice,adālat
n.m.,uchicago_S_Hassan,adal,http://dsal.uchicago.edu/dictionaries/hassan/audio//00030.mp3,"[{'url': 'http://dsal.uchicago.edu/dictionaries/hassan/audio//00030.mp3', 'path': 'uchicago_S_Hassan/adal.mp3', 'checksum': 'cfccbc323a40354de897b5a031718daa', 'status': 'downloaded'}]","alteration, exchange, vice versa",adal
