category,englishExample,englishMeaning,headword,hindiExample,hindiMeaning,kashmiriExample
Adj,This house has been abandoned for last ten years.,abandoned,ترٛومُت,,"छोड़ा_हुआ,",
V,Ram was abducted by two gunmen.,abduct,اغوا کَرُن,,अपहरण_करना,
N,He has the ability to solve complex mathematical problems.,ability,قٲبلیت,,योग्यता,
Adj,Ram was able to lift the suitcase.,able,لایقِہ کار ،قٲبِل,,समर्थ,
Adj,Ram is the most able student in his class.,able,چالاک,,चतुर,
Prep,We were already aboard when he arrived.,aboard,منٛز سَوار,,पर सवार,
Prep,We were already aboard ship when they arrived.,aboard,منٛز سَوار,,पर सवार,
Prep,We were aboard ship when he arrived.,aboard,منٛز سَوار,,पर सवार,
Prep,Our six members were aboard on aircraft.,aboard,منٛز سَوار,,पर सवार,
N,I don`t know his place of abode.,abode,مُقام,,आवास,
VI,To abort female foetus is a crime.,abort,اَڈلِیوٚک کَرُن,,गर्भपात_करना,
VI,Peace talks had to be aborted.,abort,اَڈٕوَتِہ ترٛاوُن,,छोड़_देना{अधूरा},
N,Some communities are against abortion.,abortion,اََڈٕلیوٚک,,गर्भपात,
Adj,Mission that proved abortive was reported in the newspaper.,abortive,بےمطلب،ناکام,,निष्फल,
Prep,We will not talk about him.,about,مُتعلق,,के~बारे~में,
Adv,Boys were sitting about in the park.,about,ہُپٲرۍ یَپٲرۍ,,इधर_उधर,
Adv,She is about to finish her homework.,about,لَگ بَگ,,लगभग,
Adv,Let us not go complaining about it any longer now.,about,واریاہ زیادٕ,,बहुत_हो_गया,
Prep,I read a book about cricket.,about,مُتعلِق,,के_बारे_में,
Prep,I dropped the pen somewhere about here.,about,ییٚتی اورٕ یور,,आस_पास,
Prep,Please fix a mirror above the wash basin.,above,پٮ۪ٹھ,,के~ऊपर,
Adv,Grades B and above are considered satisfactory.,above,ہیوٚر,,ऊँचा,
Prep,The water rose above the danger mark.,above,پیٚٹھۍ،ہیوٚر,,ऊपर,
Prep,The house has a thached roof above.,above,پٮ۪ٹھہٕ,,के_ऊपर,
Prep,My brother lives in the flat above ours.,above,پٮ۪ٹھ,,के_ऊपर_वाला,
Adj,Please reply at the above mentioned address.,above,پیٚٹِھۍ مِس,,ऊपर_का,
Adj,I read the abridged edition of Dickens`s `Oliver Twist`.,abridged,لۄکُٹ،ژھوٚٹ,,संक्षिप्त,
Adv,He has relatives both in India and abroad.,abroad,پردیسَس منٛز,,विदेश_में,
Adv,There is a rumour abroad about your having a love affair?,abroad,ژۄپٲرۍ,,प्रचलित,
Adj,The conversation was brought to an abrupt end.,abrupt,ہنٛگہٕ تہٕ منٛگہٕ,,आकस्मक,
Adj,Everybody dislikes his abrupt manners.,abrupt,أجیب,,रूखा,
Adj,It was an abrupt action.,abrupt,اَچانک,,असम्बद्ध,
Adv,He ended his speech abruptly.,abruptly,جلد ی منٛز، دٔستی منٛز,,आकस्मिक_रुप_से,
V,He is planning to abscond with his beloved.,abscond,ژَلُن،غٲب گَژُھن,,फरार_होना,
N,We shall not leave in his absence.,absence,غیر موجوٗدگی،غٲرحٲضری,,अनुपस्थिति,
Adj,He is always absent from the class.,absent,غیر حٲضر,,अनुपस्थित,
VT,You cannot choose to absent yourself from the chemistry class.,absent,غیرحٲضرآسُن،غیرموجوٗد آسُن,,अनुपस्थित_होना,
Adj,There is no absolute standard for beauty.,absolute,مُقرَر,,पूर्णतया,
N,Their belief in God is absolute.,absolute,حَتمی،یٔقیٖنی,,परम_सिद्धांत,
